run,step,n,passes,pass1,ci_lo,ci_hi,mean_reward
train_qwen3-30b,0,24,0,0.0000,0.0000,0.1380,0.4737
train_qwen3-30b,1,24,0,0.0000,0.0000,0.1380,0.4810
train_qwen3-30b,2,24,0,0.0000,0.0000,0.1380,0.5053
train_qwen3-30b,3,24,0,0.0000,0.0000,0.1380,0.5090
train_qwen3-30b,4,24,0,0.0000,0.0000,0.1380,0.4723
train_qwen3-30b,5,24,0,0.0000,0.0000,0.1380,0.4878
train_qwen3-30b,6,24,0,0.0000,0.0000,0.1380,0.4582
train_qwen3-30b,7,24,0,0.0000,0.0000,0.1380,0.4463
train_qwen3-30b,8,24,0,0.0000,0.0000,0.1380,0.4969
train_qwen3-30b,9,24,0,0.0000,0.0000,0.1380,0.4952
train_qwen3-30b,10,24,0,0.0000,0.0000,0.1380,0.5246
train_qwen3-30b,11,24,0,0.0000,0.0000,0.1380,0.4316
train_qwen3-30b,12,24,0,0.0000,0.0000,0.1380,0.4845
train_qwen3-30b,13,24,0,0.0000,0.0000,0.1380,0.4905
train_qwen3-8b,0,24,0,0.0000,0.0000,0.1380,0.5220
train_qwen3-8b,1,24,0,0.0000,0.0000,0.1380,0.5113
train_qwen3-8b,2,24,0,0.0000,0.0000,0.1380,0.5077
train_qwen3-8b,3,24,0,0.0000,0.0000,0.1380,0.4940
train_qwen3-8b,4,24,0,0.0000,0.0000,0.1380,0.5119
train_qwen3-8b,5,24,0,0.0000,0.0000,0.1380,0.5327
train_qwen3-8b,6,24,0,0.0000,0.0000,0.1380,0.5073
train_qwen3-8b,7,24,0,0.0000,0.0000,0.1380,0.5114
train_qwen3-8b,8,24,0,0.0000,0.0000,0.1380,0.5395
train_qwen3-8b,9,24,0,0.0000,0.0000,0.1380,0.4858
train_qwen3-8b,10,24,0,0.0000,0.0000,0.1380,0.5236
train_qwen3-8b,11,24,0,0.0000,0.0000,0.1380,0.5290
train_qwen3-8b,12,24,0,0.0000,0.0000,0.1380,0.5292
train_qwen3-8b,13,24,0,0.0000,0.0000,0.1380,0.4464
train_qwen3-8b,14,24,0,0.0000,0.0000,0.1380,0.5345
train_qwen3-8b,15,24,0,0.0000,0.0000,0.1380,0.5267
train_qwen3-8b,16,24,0,0.0000,0.0000,0.1380,0.5031
train_qwen3-8b,17,24,0,0.0000,0.0000,0.1380,0.5135
train_qwen3-8b,18,24,0,0.0000,0.0000,0.1380,0.4927
train_qwen3-8b,19,24,0,0.0000,0.0000,0.1380,0.5297
train_qwen3-8b,20,24,0,0.0000,0.0000,0.1380,0.4763
train_qwen3-8b,21,24,0,0.0000,0.0000,0.1380,0.4806
train_qwen3-8b,22,24,0,0.0000,0.0000,0.1380,0.4862
train_qwen3-8b,23,24,0,0.0000,0.0000,0.1380,0.5343
train_qwen3-8b,24,24,0,0.0000,0.0000,0.1380,0.4910
train_qwen3-8b_v2,0,40,0,0.0000,0.0000,0.0876,0.5039
train_qwen3-8b_v2,1,40,0,0.0000,0.0000,0.0876,0.5220
train_qwen3-8b_v2,2,40,0,0.0000,0.0000,0.0876,0.5047
train_qwen3-8b_v2,3,40,0,0.0000,0.0000,0.0876,0.5477
train_qwen3-8b_v2,4,40,0,0.0000,0.0000,0.0876,0.5275
train_qwen3-8b_v2,5,40,0,0.0000,0.0000,0.0876,0.5290
train_qwen3-8b_v2,6,40,0,0.0000,0.0000,0.0876,0.5098
train_qwen3-8b_v2,7,40,0,0.0000,0.0000,0.0876,0.5379
train_qwen3-8b_v2,8,40,0,0.0000,0.0000,0.0876,0.5408
train_qwen3-8b_v2,9,40,0,0.0000,0.0000,0.0876,0.5381
train_qwen3-8b_v2,10,40,0,0.0000,0.0000,0.0876,0.5421
train_qwen3-8b_v2,11,40,2,0.0500,0.0138,0.1650,0.5316
train_qwen3-8b_v2,12,40,0,0.0000,0.0000,0.0876,0.5235
train_qwen3-8b_v2,13,40,0,0.0000,0.0000,0.0876,0.5396
train_qwen3-8b_v2,14,40,0,0.0000,0.0000,0.0876,0.5410
