run,step,n,passes,pass1,ci_lo,ci_hi,mean_reward
train_qwen3-30b,0,24,4,0.1667,0.0668,0.3585,0.4737
train_qwen3-30b,1,24,4,0.1667,0.0668,0.3585,0.4810
train_qwen3-30b,2,24,3,0.1250,0.0434,0.3100,0.5053
train_qwen3-30b,3,24,4,0.1667,0.0668,0.3585,0.5090
train_qwen3-30b,4,24,3,0.1250,0.0434,0.3100,0.4723
train_qwen3-30b,5,24,5,0.2083,0.0924,0.4047,0.4878
train_qwen3-30b,6,24,2,0.0833,0.0232,0.2585,0.4582
train_qwen3-30b,7,24,3,0.1250,0.0434,0.3100,0.4463
train_qwen3-30b,8,24,4,0.1667,0.0668,0.3585,0.4969
train_qwen3-30b,9,24,5,0.2083,0.0924,0.4047,0.4952
train_qwen3-30b,10,24,6,0.2500,0.1200,0.4490,0.5246
train_qwen3-30b,11,24,1,0.0417,0.0074,0.2024,0.4316
train_qwen3-30b,12,24,4,0.1667,0.0668,0.3585,0.4845
train_qwen3-30b,13,24,4,0.1667,0.0668,0.3585,0.4905
train_qwen3-8b,0,24,9,0.3750,0.2116,0.5729,0.5220
train_qwen3-8b,1,24,7,0.2917,0.1491,0.4917,0.5113
train_qwen3-8b,2,24,6,0.2500,0.1200,0.4490,0.5077
train_qwen3-8b,3,24,5,0.2083,0.0924,0.4047,0.4940
train_qwen3-8b,4,24,5,0.2083,0.0924,0.4047,0.5119
train_qwen3-8b,5,24,6,0.2500,0.1200,0.4490,0.5327
train_qwen3-8b,6,24,5,0.2083,0.0924,0.4047,0.5073
train_qwen3-8b,7,24,5,0.2083,0.0924,0.4047,0.5114
train_qwen3-8b,8,24,6,0.2500,0.1200,0.4490,0.5395
train_qwen3-8b,9,24,4,0.1667,0.0668,0.3585,0.4858
train_qwen3-8b,10,24,7,0.2917,0.1491,0.4917,0.5236
train_qwen3-8b,11,24,6,0.2500,0.1200,0.4490,0.5290
train_qwen3-8b,12,24,7,0.2917,0.1491,0.4917,0.5292
train_qwen3-8b,13,24,4,0.1667,0.0668,0.3585,0.4464
train_qwen3-8b,14,24,8,0.3333,0.1797,0.5329,0.5345
train_qwen3-8b,15,24,8,0.3333,0.1797,0.5329,0.5267
train_qwen3-8b,16,24,5,0.2083,0.0924,0.4047,0.5031
train_qwen3-8b,17,24,6,0.2500,0.1200,0.4490,0.5135
train_qwen3-8b,18,24,6,0.2500,0.1200,0.4490,0.4927
train_qwen3-8b,19,24,8,0.3333,0.1797,0.5329,0.5297
train_qwen3-8b,20,24,5,0.2083,0.0924,0.4047,0.4763
train_qwen3-8b,21,24,4,0.1667,0.0668,0.3585,0.4806
train_qwen3-8b,22,24,4,0.1667,0.0668,0.3585,0.4862
train_qwen3-8b,23,24,7,0.2917,0.1491,0.4917,0.5343
train_qwen3-8b,24,24,5,0.2083,0.0924,0.4047,0.4910
train_qwen3-8b_v2,0,40,15,0.3750,0.2422,0.5297,0.5039
train_qwen3-8b_v2,1,40,18,0.4500,0.3071,0.6017,0.5220
train_qwen3-8b_v2,2,40,15,0.3750,0.2422,0.5297,0.5047
train_qwen3-8b_v2,3,40,19,0.4750,0.3294,0.6250,0.5477
train_qwen3-8b_v2,4,40,17,0.4250,0.2851,0.5781,0.5275
train_qwen3-8b_v2,5,40,17,0.4250,0.2851,0.5781,0.5290
train_qwen3-8b_v2,6,40,16,0.4000,0.2635,0.5540,0.5098
train_qwen3-8b_v2,7,40,18,0.4500,0.3071,0.6017,0.5379
train_qwen3-8b_v2,8,40,19,0.4750,0.3294,0.6250,0.5408
train_qwen3-8b_v2,9,40,17,0.4250,0.2851,0.5781,0.5381
train_qwen3-8b_v2,10,40,18,0.4500,0.3071,0.6017,0.5421
train_qwen3-8b_v2,11,40,18,0.4500,0.3071,0.6017,0.5316
train_qwen3-8b_v2,12,40,16,0.4000,0.2635,0.5540,0.5235
train_qwen3-8b_v2,13,40,18,0.4500,0.3071,0.6017,0.5396
train_qwen3-8b_v2,14,40,21,0.5250,0.3750,0.6706,0.5410
