incident_id,arm,mttr_minutes,pair_id,operator_id,resolved
sim-inc-000,agent,386.98,,op21,True
sim-inc-001,agent,40.23,,op2,True
sim-inc-002,control,88.07,,op18,True
sim-inc-003,control,360.04,,op18,True
sim-inc-004,control,44.37,,op3,True
sim-inc-005,agent,91.61,,op2,True
sim-inc-006,agent,56.6,,op19,True
sim-inc-007,agent,1911.69,,op21,True
sim-inc-008,agent,19.97,,op21,True
sim-inc-009,control,351.07,,op9,True
sim-inc-010,control,362.37,,op17,True
sim-inc-011,control,96.3,,op11,True
sim-inc-012,agent,1253.62,,op7,True
sim-inc-013,control,5050.61,,op11,True
sim-inc-014,agent,398.74,,op23,True
sim-inc-015,control,2642.45,,op12,True
sim-inc-016,control,442.32,,op6,True
sim-inc-017,control,1848.84,,op17,True
sim-inc-018,agent,40.46,,op8,True
sim-inc-019,control,513.75,,op14,True
sim-inc-020,control,26.72,,op22,True
sim-inc-021,agent,132.28,,op17,True
sim-inc-022,control,1395.92,,op11,True
sim-inc-023,agent,65.99,,op7,True
sim-inc-024,control,533.68,,op12,True
sim-inc-025,control,283.67,,op0,True
sim-inc-026,control,773.71,,op11,True
sim-inc-027,agent,18.35,,op15,True
sim-inc-028,agent,34.62,,op20,True
sim-inc-029,control,611.27,,op15,True
sim-inc-030,control,9471.11,,op23,True
sim-inc-031,agent,369.68,,op4,True
sim-inc-032,control,77.13,,op15,True
sim-inc-033,agent,270.97,,op23,True
sim-inc-034,control,19.1,,op6,True
sim-inc-035,control,405.4,,op17,True
sim-inc-036,agent,66.12,,op18,True
sim-inc-037,control,657.46,,op4,True
sim-inc-038,control,304.95,,op4,True
sim-inc-039,control,96.14,,op16,True
sim-inc-040,agent,242.07,,op6,True
sim-inc-041,agent,21.52,,op2,True
sim-inc-042,agent,16.13,,op14,True
sim-inc-043,agent,110.0,,op8,True
sim-inc-044,agent,22.45,,op14,True
sim-inc-045,agent,87.94,,op4,True
sim-inc-046,control,2006.74,,op7,True
sim-inc-047,control,1222.08,,op7,True
sim-inc-048,control,206.29,,op10,True
sim-inc-049,control,47.71,,op10,True
sim-inc-050,control,5295.34,,op7,True
sim-inc-051,agent,252.95,,op4,True
sim-inc-052,agent,1568.01,,op17,True
sim-inc-053,agent,539.23,,op22,True
sim-inc-054,control,2407.66,,op2,True
sim-inc-055,agent,271.87,,op17,True
sim-inc-056,control,3951.77,,op3,True
sim-inc-057,agent,2089.71,,op6,True
sim-inc-058,agent,3159.12,,op1,True
sim-inc-059,agent,510.3,,op14,True
sim-inc-060,control,232.3,,op16,True
sim-inc-061,agent,152.08,,op20,True
sim-inc-062,control,413.05,,op20,True
sim-inc-063,control,1346.71,,op16,True
sim-inc-064,control,4737.21,,op8,True
sim-inc-065,agent,2728.57,,op7,True
sim-inc-066,agent,211.49,,op15,True
sim-inc-067,control,3634.32,,op4,True
sim-inc-068,control,4137.19,,op16,True
sim-inc-069,control,565.01,,op10,True
sim-inc-070,agent,85.99,,op16,True
sim-inc-071,agent,791.61,,op16,True
sim-inc-072,control,46.73,,op20,True
sim-inc-073,control,45.05,,op20,True
sim-inc-074,control,52.74,,op16,True
sim-inc-075,control,342.41,,op2,True
sim-inc-076,control,473.93,,op14,True
sim-inc-077,agent,6676.73,,op20,True
sim-inc-078,control,4076.06,,op15,True
sim-inc-079,control,154.49,,op9,True
sim-inc-080,agent,249.94,,op9,True
sim-inc-081,control,57.39,,op14,True
sim-inc-082,agent,664.48,,op2,True
sim-inc-083,control,2581.72,,op16,True
sim-inc-084,agent,443.83,,op0,True
sim-inc-085,control,43.39,,op13,True
sim-inc-086,agent,4998.63,,op12,True
sim-inc-087,control,1044.35,,op11,True
sim-inc-088,control,8804.85,,op8,True
sim-inc-089,control,4083.31,,op8,True
sim-inc-090,agent,418.18,,op0,True
sim-inc-091,agent,2651.96,,op23,True
sim-inc-092,agent,49.53,,op1,True
sim-inc-093,agent,2159.75,,op23,True
sim-inc-094,agent,29.46,,op12,True
sim-inc-095,control,327.5,,op7,True
sim-inc-096,control,59.97,,op7,True
sim-inc-097,agent,10.53,,op6,True
sim-inc-098,control,4368.23,,op8,True
sim-inc-099,agent,489.32,,op20,True
sim-inc-100,agent,12.89,,op13,True
sim-inc-101,agent,259.07,,op22,True
sim-inc-102,agent,163.38,,op16,True
sim-inc-103,agent,333.71,,op21,True
sim-inc-104,control,2437.83,,op2,True
sim-inc-105,agent,139.56,,op20,True
sim-inc-106,control,67.57,,op3,True
sim-inc-107,agent,449.07,,op19,True
sim-inc-108,control,280.73,,op7,True
sim-inc-109,agent,5406.88,,op0,True
sim-inc-110,control,970.52,,op13,True
sim-inc-111,agent,34.7,,op12,True
sim-inc-112,agent,52.06,,op6,True
sim-inc-113,control,43.68,,op3,True
sim-inc-114,control,32.42,,op1,True
sim-inc-115,control,109.9,,op13,True
sim-inc-116,control,25.52,,op5,True
sim-inc-117,agent,215.91,,op21,True
sim-inc-118,control,176.45,,op2,True
sim-inc-119,agent,1616.14,,op6,True
