incident_id,arm,mttr_minutes,pair_id,operator_id,resolved
sim-inc-000,control,242.53,pair-000,op8,True
sim-inc-000,agent,179.08,pair-000,op8,True
sim-inc-001,control,1509.4,pair-001,op2,True
sim-inc-001,agent,890.17,pair-001,op2,True
sim-inc-002,control,95.1,pair-002,op1,True
sim-inc-002,agent,57.83,pair-002,op1,True
sim-inc-003,control,869.88,pair-003,op7,True
sim-inc-003,agent,718.77,pair-003,op7,True
sim-inc-004,control,84.32,pair-004,op9,True
sim-inc-004,agent,34.99,pair-004,op9,True
sim-inc-005,control,88.84,pair-005,op3,True
sim-inc-005,agent,45.23,pair-005,op3,True
sim-inc-006,control,2530.02,pair-006,op6,True
sim-inc-006,agent,2079.9,pair-006,op6,True
sim-inc-007,control,131.48,pair-007,op3,True
sim-inc-007,agent,49.35,pair-007,op3,True
sim-inc-008,control,280.65,pair-008,op2,True
sim-inc-008,agent,178.16,pair-008,op2,True
sim-inc-009,control,35.26,pair-009,op8,True
sim-inc-009,agent,18.92,pair-009,op8,True
sim-inc-010,control,301.51,pair-010,op5,True
sim-inc-010,agent,225.74,pair-010,op5,True
sim-inc-011,control,28.13,pair-011,op7,True
sim-inc-011,agent,19.96,pair-011,op7,True
sim-inc-012,control,77.78,pair-012,op6,True
sim-inc-012,agent,44.86,pair-012,op6,True
sim-inc-013,control,48.84,pair-013,op7,True
sim-inc-013,agent,48.97,pair-013,op7,True
sim-inc-014,control,410.31,pair-014,op6,True
sim-inc-014,agent,181.44,pair-014,op6,True
sim-inc-015,control,33.09,pair-015,op0,True
sim-inc-015,agent,22.04,pair-015,op0,True
sim-inc-016,control,99.14,pair-016,op5,True
sim-inc-016,agent,165.64,pair-016,op5,True
sim-inc-017,control,62.29,pair-017,op4,True
sim-inc-017,agent,35.38,pair-017,op4,True
sim-inc-018,control,169.73,pair-018,op4,True
sim-inc-018,agent,98.02,pair-018,op4,True
sim-inc-019,control,582.58,pair-019,op2,True
sim-inc-019,agent,252.65,pair-019,op2,True
sim-inc-020,control,340.9,pair-020,op5,True
sim-inc-020,agent,275.91,pair-020,op5,True
sim-inc-021,control,1325.53,pair-021,op4,True
sim-inc-021,agent,1959.7,pair-021,op4,True
sim-inc-022,control,1683.45,pair-022,op1,True
sim-inc-022,agent,817.81,pair-022,op1,True
sim-inc-023,control,1844.12,pair-023,op8,True
sim-inc-023,agent,1348.54,pair-023,op8,True
sim-inc-024,control,14.58,pair-024,op8,True
sim-inc-024,agent,13.83,pair-024,op8,True
sim-inc-025,control,248.56,pair-025,op5,True
sim-inc-025,agent,269.56,pair-025,op5,True
sim-inc-026,control,814.41,pair-026,op5,True
sim-inc-026,agent,702.73,pair-026,op5,True
sim-inc-027,control,305.7,pair-027,op0,True
sim-inc-027,agent,311.57,pair-027,op0,True
sim-inc-028,control,528.43,pair-028,op3,True
sim-inc-028,agent,269.19,pair-028,op3,True
sim-inc-029,control,125.44,pair-029,op9,True
sim-inc-029,agent,40.29,pair-029,op9,True
sim-inc-030,control,325.01,pair-030,op1,True
sim-inc-030,agent,226.26,pair-030,op1,True
sim-inc-031,control,3454.98,pair-031,op1,True
sim-inc-031,agent,3127.02,pair-031,op1,True
sim-inc-032,control,455.85,pair-032,op3,True
sim-inc-032,agent,522.83,pair-032,op3,True
sim-inc-033,control,4687.49,pair-033,op1,True
sim-inc-033,agent,2003.22,pair-033,op1,True
sim-inc-034,control,221.28,pair-034,op8,True
sim-inc-034,agent,133.75,pair-034,op8,True
sim-inc-035,control,5635.87,pair-035,op2,True
sim-inc-035,agent,4176.25,pair-035,op2,True
sim-inc-036,control,452.07,pair-036,op0,True
sim-inc-036,agent,288.76,pair-036,op0,True
sim-inc-037,control,46.57,pair-037,op8,True
sim-inc-037,agent,17.38,pair-037,op8,True
sim-inc-038,control,80.29,pair-038,op9,True
sim-inc-038,agent,20.35,pair-038,op9,True
sim-inc-039,control,32.52,pair-039,op8,True
sim-inc-039,agent,16.59,pair-039,op8,True
sim-inc-040,control,2100.26,pair-040,op2,True
sim-inc-040,agent,1853.54,pair-040,op2,True
sim-inc-041,control,33.53,pair-041,op9,True
sim-inc-041,agent,22.33,pair-041,op9,True
sim-inc-042,control,107.44,pair-042,op9,True
sim-inc-042,agent,71.76,pair-042,op9,True
sim-inc-043,control,1604.72,pair-043,op3,True
sim-inc-043,agent,473.81,pair-043,op3,True
sim-inc-044,control,3097.58,pair-044,op1,True
sim-inc-044,agent,2578.96,pair-044,op1,True
sim-inc-045,control,183.79,pair-045,op8,True
sim-inc-045,agent,193.82,pair-045,op8,True
sim-inc-046,control,1353.85,pair-046,op5,True
sim-inc-046,agent,1664.2,pair-046,op5,True
sim-inc-047,control,93.29,pair-047,op8,True
sim-inc-047,agent,138.51,pair-047,op8,True
sim-inc-048,control,176.1,pair-048,op2,True
sim-inc-048,agent,65.99,pair-048,op2,True
sim-inc-049,control,343.9,pair-049,op4,True
sim-inc-049,agent,234.78,pair-049,op4,True
